review_text,has_negation,true_label
"In my opinion, The food was not bad; it was quite delicious This is just my honest review.",True,Positive
"I regret buying this, not worth it.",False,Negative
This product failed to meet my expectations This is just my honest review.,False,Negative
I did not like this product at all.,True,Negative
I absolutely loved this product I would avoid this next time.,False,Positive
"It is not the worst, it is one of the best I have tried.",True,Positive
"I regret buying this, not worth it.",False,Negative
"Overall, I am not happy with the results; it failed badly.",True,Negative
This was a complete waste of money.,False,Negative
"Honestly, Very disappointed with the quality and service.",False,Negative
"Personally, This is not what I expected, very disappointing I would avoid this next time.",True,Negative
"Overall, Great experience overall, would buy again This is just my honest review.",False,Positive
This product failed to meet my expectations.,False,Negative
"I regret buying this, not worth it I would avoid this next time.",False,Negative
The quality is not poor; it is actually impressive.,True,Positive
"Personally, The performance was not stable and not acceptable It really stood out for me.",True,Negative
"To be fair, It caused more problems than it solved.",False,Negative
Customer service was terrible and unhelpful.,False,Negative
"Great experience overall, would buy again.",False,Positive
The quality is not good enough for daily use.,True,Negative
The experience was awful from start to finish.,False,Negative
Everything was smooth and better than expected.,False,Positive
"As a regular customer, This was not bad at all, actually pretty good I hope it improves in the future.",True,Positive
Highly recommend this to everyone.,False,Positive
"It is not the worst, it is one of the best I have tried.",True,Positive
"This is not what I expected, very disappointing.",True,Negative
"It is not the worst, it is one of the best I have tried I hope it improves in the future.",True,Positive
"Personally, It caused more problems than it solved.",False,Negative
This was a complete waste of money.,False,Negative
"From my experience, I am really happy with this purchase.",False,Positive
"As a regular customer, I really hated this product.",False,Negative
I am not satisfied with this product at all.,True,Negative
"As a regular customer, The service was not helpful, it made things worse.",True,Negative
Highly recommend this to everyone I think others might feel the same.,False,Positive
The experience was awful from start to finish It really stood out for me.,False,Negative
"Overall, this was a bad decision I think others might feel the same.",False,Negative
I am really happy with this purchase It really stood out for me.,False,Positive
Exceeded my expectations in every way.,False,Positive
Very disappointed with the quality and service.,False,Negative
I am really happy with this purchase.,False,Positive
The quality is not good enough for daily use.,True,Negative
This product failed to meet my expectations.,False,Negative
The performance was not stable and not acceptable Would consider buying again.,True,Negative
The food was not bad; it was quite delicious It really stood out for me.,True,Positive
Very disappointed with the quality and service It really stood out for me.,False,Negative
"The experience was not good, I will not return.",True,Negative
Highly recommend this to everyone.,False,Positive
"Honestly, Overall, this was a bad decision.",False,Negative
"I am not unhappy, I am very pleased with it.",True,Positive
"From my experience, I really hated this product.",False,Negative
"Personally, The product is not as bad as some reviews claim; it is great This is just my honest review.",True,Positive
"Overall, The experience was awful from start to finish I hope it improves in the future.",False,Negative
"It is not the worst, it is one of the best I have tried.",True,Positive
